frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
66,2.200,coco_yolov8s,0,person,0.5778,1186.6,354.3,1429.5,806.2
66,2.200,coco_yolov8s,0,person,0.5156,1268.2,160.3,1564.3,762.9
67,2.233,coco_yolov8s,0,person,0.3208,1189.4,158.4,1549.5,800.7
67,2.233,coco_yolov8s,0,person,0.2681,1184.7,359.9,1439.0,799.9
68,2.267,coco_yolov8s,0,person,0.7150,1653.0,1.3,1919.2,477.0
68,2.267,coco_yolov8s,0,person,0.7100,1244.8,160.8,1556.6,795.6
69,2.300,coco_yolov8s,0,person,0.6605,1244.8,166.2,1547.5,789.3
69,2.300,coco_yolov8s,0,person,0.4820,1628.2,4.1,1919.2,478.6
70,2.333,coco_yolov8s,0,person,0.7402,1602.1,1.2,1919.2,483.9
70,2.333,coco_yolov8s,0,person,0.5989,1233.5,172.1,1512.4,791.3
71,2.367,coco_yolov8s,0,person,0.6119,1578.1,0.5,1919.0,489.3
71,2.367,coco_yolov8s,0,person,0.4205,1232.8,371.3,1496.1,756.3
72,2.400,coco_yolov8s,0,person,0.5316,1226.8,388.3,1485.2,784.7
72,2.400,coco_yolov8s,0,person,0.5026,1554.5,0.8,1919.1,536.1
72,2.400,coco_yolov8s,0,person,0.2559,1288.8,0.9,1919.9,465.2
73,2.433,coco_yolov8s,0,person,0.6781,1529.4,0.7,1919.2,509.9
73,2.433,coco_yolov8s,0,person,0.4288,1165.6,194.2,1496.6,792.6
74,2.467,coco_yolov8s,0,person,0.6243,1503.9,1.0,1919.4,582.2
74,2.467,coco_yolov8s,0,person,0.4763,1151.9,212.9,1521.7,795.7
75,2.500,coco_yolov8s,0,person,0.8324,1481.4,0.7,1919.6,582.5
75,2.500,coco_yolov8s,0,person,0.6322,1222.8,231.9,1519.6,789.2
76,2.533,coco_yolov8s,0,person,0.7542,1466.0,0.3,1852.8,529.6
76,2.533,coco_yolov8s,0,person,0.3474,1214.6,245.3,1512.3,783.4
77,2.567,coco_yolov8s,0,person,0.6138,1447.5,0.0,1827.4,539.6
77,2.567,coco_yolov8s,0,person,0.5565,1195.9,255.8,1541.0,793.4
78,2.600,coco_yolov8s,0,person,0.8891,1427.1,0.7,1808.4,567.5
78,2.600,coco_yolov8s,0,person,0.3653,1160.4,277.1,1554.8,793.9
79,2.633,coco_yolov8s,0,person,0.9096,1406.6,0.6,1787.3,575.1
79,2.633,coco_yolov8s,0,person,0.5710,1111.9,278.9,1551.7,803.9
79,2.633,coco_yolov8s,0,person,0.2897,1154.1,279.0,1423.6,791.4
80,2.667,coco_yolov8s,0,person,0.8709,1376.2,0.9,1770.5,583.1
80,2.667,coco_yolov8s,0,person,0.5908,1177.8,287.8,1423.7,784.3
81,2.700,coco_yolov8s,0,person,0.8134,1354.6,0.5,1749.3,589.0
82,2.733,coco_yolov8s,0,person,0.7242,1282.9,0.5,1730.1,590.5
83,2.767,coco_yolov8s,0,person,0.8387,1272.4,0.3,1705.6,593.6
83,2.767,coco_yolov8s,0,person,0.5496,1126.8,283.4,1464.7,787.7
83,2.767,coco_yolov8s,0,person,0.3852,1126.1,283.2,1376.1,727.7
84,2.800,coco_yolov8s,0,person,0.8202,1269.9,0.3,1685.2,589.6
84,2.800,coco_yolov8s,0,person,0.5138,1120.1,283.1,1370.8,773.1
84,2.800,coco_yolov8s,0,person,0.2648,1068.7,469.0,1207.5,781.3
84,2.800,coco_yolov8s,0,person,0.2609,1122.4,284.7,1496.5,786.6
85,2.833,coco_yolov8s,0,person,0.7390,1205.0,0.1,1663.4,726.5
85,2.833,coco_yolov8s,0,person,0.2789,1119.5,369.2,1362.6,780.1
86,2.867,coco_yolov8s,0,person,0.7026,1143.5,0.4,1640.5,728.5
87,2.900,coco_yolov8s,0,person,0.3094,1170.6,0.7,1615.6,754.8
87,2.900,coco_yolov8s,0,person,0.2561,1171.8,0.1,1614.2,529.6
88,2.933,coco_yolov8s,0,person,0.4038,1200.9,1.2,1590.3,745.9
89,2.967,coco_yolov8s,0,person,0.3324,1195.2,0.9,1563.8,559.4
90,3.000,coco_yolov8s,0,person,0.4700,1191.8,1.4,1537.2,547.2
91,3.033,coco_yolov8s,0,person,0.6068,1171.2,0.8,1515.2,636.8
92,3.067,coco_yolov8s,0,person,0.3463,1290.7,412.5,1639.8,784.8
93,3.100,coco_yolov8s,0,person,0.6929,1104.3,0.7,1479.9,778.6
94,3.133,coco_yolov8s,0,person,0.8217,1096.9,1.0,1467.9,802.4
94,3.133,coco_yolov8s,0,person,0.2767,1290.3,405.4,1654.0,785.9
95,3.167,coco_yolov8s,0,person,0.3219,1101.7,5.2,1453.3,782.2
97,3.233,coco_yolov8s,0,person,0.4362,1087.1,4.7,1428.9,778.9
99,3.300,coco_yolov8s,0,person,0.4637,1077.0,4.3,1395.0,683.6
100,3.333,coco_yolov8s,0,person,0.4813,1507.9,391.5,1700.9,756.0
100,3.333,coco_yolov8s,0,person,0.3032,1065.4,5.9,1379.5,697.8
101,3.367,coco_yolov8s,0,person,0.3702,1510.6,387.7,1712.5,753.7
102,3.400,coco_yolov8s,0,person,0.3638,1510.3,378.4,1717.1,750.7
102,3.400,coco_yolov8s,0,person,0.3053,1047.8,21.6,1352.3,613.9
103,3.433,coco_yolov8s,0,person,0.2679,1512.9,395.1,1727.1,747.1
107,3.567,coco_yolov8s,0,person,0.2507,1833.1,2.1,1919.5,352.0
108,3.600,coco_yolov8s,0,person,0.3894,990.3,87.1,1264.5,799.2
108,3.600,coco_yolov8s,0,person,0.2725,1812.5,1.7,1919.1,360.5
109,3.633,coco_yolov8s,0,person,0.4471,1793.5,0.7,1919.2,527.2
109,3.633,coco_yolov8s,0,person,0.3507,987.3,106.7,1252.5,724.7
109,3.633,coco_yolov8s,0,person,0.3323,1592.8,372.0,1770.8,745.9
110,3.667,coco_yolov8s,0,person,0.6430,1604.4,361.6,1781.7,746.5
110,3.667,coco_yolov8s,0,person,0.3829,1769.1,0.5,1919.0,388.7
110,3.667,coco_yolov8s,0,person,0.2950,976.9,135.0,1241.7,810.7
110,3.667,coco_yolov8s,0,person,0.2604,1797.4,363.9,1919.0,523.0
111,3.700,coco_yolov8s,0,person,0.6553,1621.7,355.8,1789.6,740.6
111,3.700,coco_yolov8s,0,person,0.4298,1747.5,0.0,1918.6,402.1
112,3.733,coco_yolov8s,0,person,0.4039,1709.4,1.5,1918.9,349.1
112,3.733,coco_yolov8s,0,person,0.3341,1629.5,296.8,1909.0,742.9
113,3.767,coco_yolov8s,0,person,0.4809,1628.1,304.1,1866.9,732.7
113,3.767,coco_yolov8s,0,person,0.2525,1699.7,0.0,1919.9,423.5
114,3.800,coco_yolov8s,0,person,0.6724,1647.8,292.6,1846.8,730.9
114,3.800,coco_yolov8s,0,person,0.4394,1677.0,3.0,1919.2,457.8
115,3.833,coco_yolov8s,0,person,0.6129,1419.3,0.0,1919.0,715.8
116,3.867,coco_yolov8s,0,person,0.8418,1412.3,0.3,1919.1,700.3
117,3.900,coco_yolov8s,0,person,0.5579,1608.2,0.0,1870.7,722.0
117,3.900,coco_yolov8s,0,person,0.5376,1407.4,0.2,1878.8,723.0
118,3.933,coco_yolov8s,0,person,0.5389,1556.5,0.0,1864.0,719.9
118,3.933,coco_yolov8s,0,person,0.3407,1414.6,0.0,1867.3,722.6
118,3.933,coco_yolov8s,0,person,0.2604,916.9,170.7,1156.1,832.7
119,3.967,coco_yolov8s,0,person,0.8381,1412.2,0.0,1876.0,715.5
119,3.967,coco_yolov8s,0,person,0.3491,907.5,173.8,1150.0,829.5
120,4.000,coco_yolov8s,0,person,0.7405,1406.8,0.0,1881.8,713.6
121,4.033,coco_yolov8s,0,person,0.8641,1410.4,0.0,1888.2,709.5
122,4.067,coco_yolov8s,0,person,0.6093,1420.8,0.1,1796.0,598.9
122,4.067,coco_yolov8s,0,person,0.3463,887.7,227.8,1135.4,823.8
123,4.100,coco_yolov8s,0,person,0.4821,1416.5,0.6,1898.1,611.3
124,4.133,coco_yolov8s,0,person,0.5872,1399.3,0.4,1785.7,612.2
124,4.133,coco_yolov8s,0,person,0.5769,870.4,221.1,1115.6,813.3
125,4.167,coco_yolov8s,0,person,0.7328,863.3,216.9,1114.0,826.4
125,4.167,coco_yolov8s,0,person,0.6193,1365.7,0.2,1918.6,653.6
126,4.200,coco_yolov8s,0,person,0.3704,851.9,248.0,1110.5,826.9
126,4.200,coco_yolov8s,0,person,0.3229,1240.6,201.5,1916.9,779.2
127,4.233,coco_yolov8s,0,person,0.6863,1260.0,0.3,1687.8,609.2
127,4.233,coco_yolov8s,0,person,0.5525,845.9,240.4,1101.3,831.0
127,4.233,coco_yolov8s,0,person,0.5156,1733.2,284.9,1919.3,702.7
128,4.267,coco_yolov8s,0,person,0.7294,1731.9,282.1,1919.5,695.7
128,4.267,coco_yolov8s,0,person,0.6871,1244.6,1.0,1673.2,751.2
129,4.300,coco_yolov8s,0,person,0.5840,1731.3,280.2,1919.0,684.5
129,4.300,coco_yolov8s,0,person,0.5507,1244.7,0.5,1656.1,628.4
129,4.300,coco_yolov8s,0,person,0.5334,1243.2,511.3,1534.5,783.9
130,4.333,coco_yolov8s,0,person,0.7919,1241.7,514.0,1532.8,786.3
130,4.333,coco_yolov8s,0,person,0.7529,1251.8,0.3,1630.0,561.0
131,4.367,coco_yolov8s,0,person,0.7127,1241.3,0.4,1608.1,668.5
131,4.367,coco_yolov8s,0,person,0.5008,1242.7,520.4,1528.1,784.2
131,4.367,coco_yolov8s,0,person,0.2645,828.0,286.3,1024.3,802.1
132,4.400,coco_yolov8s,0,person,0.6129,1237.3,0.3,1585.2,776.6
132,4.400,coco_yolov8s,0,person,0.4977,824.0,272.2,1099.4,853.0
132,4.400,coco_yolov8s,0,person,0.4013,1242.1,527.7,1526.4,784.8
132,4.400,coco_yolov8s,0,person,0.3634,1735.9,273.2,1919.5,625.5
133,4.433,coco_yolov8s,0,person,0.5717,1228.1,1.5,1565.6,651.2
133,4.433,coco_yolov8s,0,person,0.3771,1739.2,278.4,1919.6,611.3
134,4.467,coco_yolov8s,0,person,0.5884,1213.2,1.1,1546.1,592.2
134,4.467,coco_yolov8s,0,person,0.4430,1740.2,280.2,1919.1,591.1
134,4.467,coco_yolov8s,0,person,0.4081,1241.9,546.1,1525.6,782.4
134,4.467,coco_yolov8s,0,person,0.4077,817.8,274.5,1082.3,834.1
135,4.500,coco_yolov8s,0,person,0.7672,1746.0,282.6,1919.0,581.7
135,4.500,coco_yolov8s,0,person,0.6569,814.4,276.5,1090.1,833.3
135,4.500,coco_yolov8s,0,person,0.4689,1214.3,2.7,1529.9,631.1
135,4.500,coco_yolov8s,0,person,0.3388,815.0,288.0,1010.2,814.5
